Reference,OE,AE,OG,FG,Refractometer,BXI,BXF,WCF,Organization,Operator,Date
PBA-B M,13.83,2.09,nan,nan,ORA 32BA,15.0,7.0,nan,BrauCampus,,
Easy Dens Gen 2,13.90,3.00,nan,nan,ORA 32BA,15.0,7.0,nan,BrauCampus,,
PBA-B M,13.46,1.93,nan,nan,ORA 32BA,14.0,6.5,nan,BrauCampus,,
Easy Dens Gen 2,13.40,2.30,nan,nan,ORA 32BA,14.0,6.5,nan,BrauCampus,,
PBA-B M,13.51,1.94,nan,nan,ORA 32BA,14.0,6.5,nan,BrauCampus,,
Easy Dens Gen 2,13.40,2.30,nan,nan,ORA 32BA,14.0,6.5,nan,BrauCampus,,
PBA-B M,13.48,1.92,nan,nan,ORA 32BA,14.0,6.5,nan,BrauCampus,,
Easy Dens Gen 2,13.40,2.30,nan,nan,ORA 32BA,14.0,6.5,nan,BrauCampus,,
PBA-B M,13.38,1.86,nan,nan,ORA 32BA,14.0,6.5,nan,BrauCampus,,
Easy Dens Gen 2,13.40,2.30,nan,nan,ORA 32BA,14.0,6.5,nan,BrauCampus,,
PBA-B M,11.78,1.62,nan,nan,ORA 32BA,12.0,6.0,nan,BrauCampus,,
Easy Dens Gen 2,11.40,2.40,nan,nan,ORA 32BA,12.0,6.0,nan,BrauCampus,,
PBA-B M,12.01,2.28,nan,nan,ORA 32BA,12.0,5.5,nan,BrauCampus,,
Easy Dens Gen 2,11.40,2.60,nan,nan,ORA 32BA,12.0,5.5,nan,BrauCampus,,
PBA-B M,11.61,1.76,nan,nan,ORA 32BA,12.0,5.5,nan,BrauCampus,,
Easy Dens Gen 2,11.40,2.60,nan,nan,ORA 32BA,12.0,5.5,nan,BrauCampus,,
PBA-B M,13.91,1.74,nan,nan,ORA 32BA,14.0,6.5,nan,BrauCampus,,
Easy Dens Gen 2,13.70,2.60,nan,nan,ORA 32BA,14.0,6.5,nan,BrauCampus,,
PBA-B M,13.91,1.80,nan,nan,ORA 32BA,14.0,6.5,nan,BrauCampus,,
Easy Dens Gen 2,13.70,2.60,nan,nan,ORA 32BA,14.0,6.5,nan,BrauCampus,,
PBA-B M,13.92,1.81,nan,nan,ORA 32BA,14.0,6.5,nan,BrauCampus,,
Easy Dens Gen 2,13.70,2.60,nan,nan,ORA 32BA,14.0,6.5,nan,BrauCampus,,
PBA-B M,16.12,6.49,nan,nan,ORA 32BA,14.5,9.88,nan,BrauCampus,,
Easy Dens Gen 2,15.00,7.00,nan,nan,ORA 32BA,14.5,9.88,nan,BrauCampus,,
PBA-B M,16.08,6.53,nan,nan,ORA 32BA,14.5,9.88,nan,BrauCampus,,
Easy Dens Gen 2,15.00,7.00,nan,nan,ORA 32BA,14.5,9.88,nan,BrauCampus,,
PBA-B M,16.07,6.53,nan,nan,ORA 32BA,14.5,9.88,nan,BrauCampus,,
Easy Dens Gen 2,15.00,7.00,nan,nan,ORA 32BA,14.5,9.88,nan,BrauCampus,,
PBA-B M,18.80,4.94,nan,nan,ORA 32BA,20.0,10.0,nan,BrauCampus,,
Easy Dens Gen 2,18.90,5.00,nan,nan,ORA 32BA,20.0,10.0,nan,BrauCampus,,
PBA-B M,18.76,4.93,nan,nan,ORA 32BA,20.0,10.0,nan,BrauCampus,,
Easy Dens Gen 2,18.90,5.00,nan,nan,ORA 32BA,20.0,10.0,nan,BrauCampus,,
PBA-B M,18.75,4.93,nan,nan,ORA 32BA,20.0,10.0,nan,BrauCampus,,
Easy Dens Gen 2,18.90,5.00,nan,nan,ORA 32BA,20.0,10.0,nan,BrauCampus,,
